chi2cdf table of deg 1
x	chi2cdf(x)	1-chi2cdf(x)
55.77	1.000000e-00	8.149037e-14
55.76	1.000000e-00	8.193446e-14
55.75	1.000000e-00	8.226753e-14
55.74	1.000000e-00	8.271162e-14
55.73	1.000000e-00	8.315570e-14
55.72	1.000000e-00	8.359979e-14
55.71	1.000000e-00	8.404388e-14
55.70	1.000000e-00	8.437695e-14
55.69	1.000000e-00	8.482104e-14
55.68	1.000000e-00	8.526513e-14
55.67	1.000000e-00	8.570922e-14
55.66	1.000000e-00	8.615331e-14
55.65	1.000000e-00	8.659740e-14
55.64	1.000000e-00	8.704149e-14
55.63	1.000000e-00	8.748557e-14
55.62	1.000000e-00	8.792966e-14
55.61	1.000000e-00	8.837375e-14
55.60	1.000000e-00	8.881784e-14
55.59	1.000000e-00	8.926193e-14
55.58	1.000000e-00	8.970602e-14
55.57	1.000000e-00	9.015011e-14
55.56	1.000000e-00	9.059420e-14
55.55	1.000000e-00	9.114931e-14
55.54	1.000000e-00	9.159340e-14
55.53	1.000000e-00	9.203749e-14
55.52	1.000000e-00	9.248158e-14
55.51	1.000000e-00	9.303669e-14
55.50	1.000000e-00	9.348078e-14
55.49	1.000000e-00	9.392487e-14
55.48	1.000000e-00	9.436896e-14
55.47	1.000000e-00	9.492407e-14
55.46	1.000000e-00	9.536816e-14
55.45	1.000000e-00	9.581225e-14
55.44	1.000000e-00	9.636736e-14
55.43	1.000000e-00	9.681145e-14
55.42	1.000000e-00	9.736656e-14
55.41	1.000000e-00	9.781065e-14
55.40	1.000000e-00	9.836576e-14
55.39	1.000000e-00	9.880985e-14
55.38	1.000000e-00	9.936496e-14
55.37	1.000000e-00	9.980905e-14
55.36	1.000000e-00	1.003642e-13
55.35	1.000000e-00	1.009193e-13
55.34	1.000000e-00	1.013634e-13
55.33	1.000000e-00	1.019185e-13
55.32	1.000000e-00	1.024736e-13
55.31	1.000000e-00	1.029177e-13
55.30	1.000000e-00	1.034728e-13
55.29	1.000000e-00	1.040279e-13
55.28	1.000000e-00	1.044720e-13
55.27	1.000000e-00	1.050271e-13
55.26	1.000000e-00	1.055822e-13
55.25	1.000000e-00	1.061373e-13
55.24	1.000000e-00	1.066924e-13
55.23	1.000000e-00	1.072475e-13
