Gene 1	Gene 2	Reprod BP	Reprod PB	Reprod PP	Literature	PullDown	PullDown Exact	Common baits	Common bait count BP	Common bait count PB	Gene 2 wanted	Prey redund level	Interolog	Mock	Prey PullDown Count	Bait geneid match	Prey geneid match	Bait and Prey geneid match	orf=0	Basic filter	Bait motifs	Prey motifs	Prey motif max	BP MMIs	PB MMIs	PP MMIs
2963	7179	1	0	4			0	2963_all,5881_all,3164_all	1	0		0.0		0	0	1	1	1	0	0			0			
2963	23189	1	0	1			0	2963_all,4087_all	1	0		0.0		0	0	1	1	1	0	0			0			
2963	10905	1	0	1			0	2963_all,5881_all	1	0		1.0		0	0	1	1	1	1	1		Glyco_hydro_47	1			
2963	57713	1	0	0			0	2963_all	1	0	TF	0.0		0	0	1	1	1	0	0			0			
2963	5354	1	0	3			0	2963_all,4087_all,5881_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	1191	1	0	1			0	2963_all,4087_all	1	0		1.0		0	0	1	1	1	1	0			0			
2963	6103	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	1	0			0			
2963	56271	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	1	0		BEX	1			
2963	140597	1	0	4			0	2963_all,4087_all,5881_all	1	0		1.0		1	0	1	1	1	1	0			0			
2963	5921	1	0	1			0	2963_all,5881_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	1759	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	1	0			0			
2963	79784	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	57537	1	0	2			0	2963_all,4087_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	285696	2	0	0			0	2963_all	1	0		1.0		0	0	1	2	2	0	0			0			
2963	11042	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	1006	1	0	1			0	2963_all,5881_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	728061	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	1285	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	4915	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	80153	1	0	1			0	2963_all,5881_all	1	0		0.0		0	0	1	1	1	0	0			0			
2963	57628	1	0	6			0	2963_all,4087_all,3164_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	5757	1	0	10			0	2963_all,4087_all	1	0	TF	1.0		1	0	1	1	1	1	0			0			
2963	57154	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	8424	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	322	1	0	0			0	2963_all	1	0	TF	1.0		0	0	1	1	1	0	0			0			
2963	9369	3	0	9			0	2963_all,4087_all,5881_all	1	0		1.0		0	0	1	3	3	0	0			0			
2963	2653	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	130507	1	0	1			0	2963_all,5881_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	64065	1	0	1			0	2963_all,4087_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	64061	1	0	13			0	2963_all,4087_all,3164_all	1	0		1.0		1	0	1	1	1	1	0			0			
2963	7224	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	399959	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	5747	1	0	2			0	2963_all,4087_all,3164_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	22832	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	1	0			0			
2963	7381	1	0	2			0	2963_all,4087_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	490	1	0	1			0	2963_all,4087_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	8988	1	0	0			0	2963_all	1	0		0.0		0	0	1	1	1	0	0			0			
2963	5586	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	3798	2	0	5			0	2963_all,4087_all	1	0		2.0		0	0	1	2	2	0	0			0			
2963	6574	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	1	0			0			
2963	54858	1	0	0			0	2963_all	1	0		0.0		0	0	1	1	1	0	0			0			
2963	51575	1	0	2			0	2963_all,4087_all,3164_all	1	0		1.0		0	0	1	1	1	1	1			0			
2963	9688	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	405	1	0	0	8794892		0	2963_all	1	0	TF	1.0		0	0	1	1	1	0	0			0			
2963	4869	1	0	1			0	2963_all,4087_all	1	0	TF	0.0		0	0	1	1	1	1	0			0			
2963	25820	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	4862	1	0	0			0	2963_all	1	0	TF	1.0		0	0	1	1	1	0	0			0			
2963	84152	1	0	0			0	2963_all	1	0		1.0		1	0	1	1	1	1	0			0			
2963	574080	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	10920	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	23291	1	0	0			0	2963_all	1	0		0.0		0	0	1	1	1	0	0			0			
2963	10939	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	1	0			0			
2963	10526	1	0	2			0	2963_all,4087_all,5881_all	1	0		1.0		0	0	1	1	1	1	1			0			
2963	9063	1	0	0			0	2963_all	1	0	TF	1.0		0	0	1	1	1	1	0			0			
2963	79974	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	71902	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	261735	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	374928	1	0	0			0	2963_all	1	0	TF	1.0		0	0	1	1	1	0	0			0			
2963	389072	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	692212	1	0	1			0	2963_all,3164_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	79577	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	23272	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	1	1			0			
2963	4038	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	5998	4	0	11			0	2963_all,4087_all,5881_all,3164_all	1	0		0.0		4	0	1	4	4	0	0			0			
2963	9904	1	0	1			0	2963_all,5881_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	22848	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	4131	2	0	11			0	2963_all,4087_all,5881_all	1	0		0.0		0	0	1	2	2	0	0			0			
2963	154865	1	0	0			0	2963_all	1	0		0.0		1	0	1	1	1	0	0			0			
2963	4134	1	0	1			0	2963_all,4087_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	9908	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	1	0			0			
2963	5697	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	4482	1	0	2			0	2963_all,5881_all,3164_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	343641	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	821	1	0	0			0	2963_all	1	0		1.0		1	0	1	1	1	1	0			0			
2963	2903	1	0	2			0	2963_all,4087_all,5881_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	54700	1	0	0			0	2963_all	1	0	TF	1.0		0	0	1	1	1	1	0			0			
2963	7018	1	0	4			0	2963_all,4087_all,5881_all,3164_all	1	0		1.0		0	0	1	1	1	1	1			0			
2963	10231	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	401337	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	6146	1	0	1			0	2963_all,3164_all	1	0	RP,RP	1.0		1	0	1	1	1	1	0		Ribosomal_L22e	1			
2963	6144	1	0	1			0	2963_all,4087_all	1	0		1.0		0	0	1	1	1	1	0			0			
2963	7038	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	3303	1	0	6			0	2963_all,4087_all	1	0	HSP,HSP,HSP,HSP	1.0		0	0	1	1	1	1	0			0			
2963	5493	1	0	0			0	2963_all	1	0		0.0		0	0	1	1	1	0	0			0			
2963	81033	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	6662	1	0	0			0	2963_all	1	0	TF	0.0		0	0	1	1	1	0	0			0			
2963	1719	1	0	2			0	2963_all,4087_all	1	0		1.0		1	0	1	1	1	0	0			0			
2963	81500	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	388458	1	0	2			0	2963_all,4087_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	64848	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	4978	1	0	4			0	2963_all,4087_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	146223	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	388333	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	714489	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	11122	1	0	1			0	2963_all,5881_all	1	0		0.0		0	0	1	1	1	0	0			0			
2963	285590	3	0	2			0	2963_all,3164_all	1	0		0.66666666666666663		1	0	1	3	3	0	0			0			
2963	4627	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	7784	1	0	0			0	2963_all	1	0		0.0		0	0	1	1	1	0	0			0			
2963	151742	2	0	1			0	2963_all,4087_all	1	0		1.0		0	0	1	2	2	0	0			0			
2963	54029	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	114614	1	0	2			0	2963_all,4087_all,5881_all	1	0		0.0		1	0	1	1	1	0	0			0			
2963	1432	1	0	1			0	2963_all,3164_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	81611	1	0	4			0	2963_all,4087_all	1	0		0.0		0	0	1	1	1	0	0			0			
2963	57580	1	0	0			0	2963_all	1	0		0.0		0	0	1	1	1	0	0			0			
2963	91746	1	0	1			0	2963_all,4087_all	1	0	TF	1.0		0	0	1	1	1	1	0			0			
2963	347745	1	0	0			0	2963_all	1	0		1.0		1	0	1	1	1	0	0			0			
2963	375719	1	0	1			0	2963_all,4087_all	1	0		0.0		0	0	1	1	1	0	0			0			
2963	5202	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	1	1		KE2	1			
2963	57210	1	0	0			0	2963_all	1	0		0.0		0	0	1	1	1	0	0			0			
2963	8720	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	8725	1	0	0			0	2963_all	1	0	TF	1.0		0	0	1	1	1	1	1			0			
2963	284352	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	1000	2	0	1			0	2963_all,3164_all	1	0		1.0		0	0	1	2	2	0	0			0			
2963	23555	1	0	0			0	2963_all	1	0		0.0		0	0	1	1	1	0	0			0			
2963	50859	2	0	1			0	2963_all,4087_all	1	0		1.0		0	0	1	2	2	2	0			0			
2963	30010	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	51255	1	0	0			0	2963_all	1	0	TF	1.0		0	0	1	1	1	1	0			0			
2963	5037	1	0	3			0	2963_all,4087_all,5881_all,3164_all	1	0		1.0		1	0	1	1	1	0	0			0			
2963	1345	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	1	1		COX6C	1			
2963	3497932	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	6929	1	0	0			0	2963_all	1	0	TF	1.0		0	0	1	1	1	0	0			0			
2963	7857	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	1	0			0			
2963	283598	1	0	2			0	2963_all,5881_all,3164_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	6595	1	0	2			0	2963_all,4087_all,5881_all	1	0	TF	1.0		0	0	1	1	1	0	0			0			
2963	196463	1	0	0			0	2963_all	1	0		0.0		0	0	1	1	1	0	0			0			
2963	3691	1	0	1			0	2963_all,3164_all	1	0		0.0		0	0	1	1	1	0	0			0			
2963	4536	4	0	11			0	2963_all,4087_all,3164_all	1	0		1.0		2	0	1	4	4	0	0			0			
2963	2889	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	374443	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	79370	1	0	1			0	2963_all,4087_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	23015	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	3084	3	0	2			0	2963_all,4087_all,3164_all	1	0		1.0		0	0	1	3	3	1	0			0			
2963	25861	1	0	0			0	2963_all	1	0		0.0		0	0	1	1	1	0	0			0			
2963	57109	1	0	1			0	2963_all,4087_all	1	0	TF	1.0		0	0	1	1	1	1	0			0			
2963	9334	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	9628	1	0	1			0	2963_all,4087_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	9092	3	0	2			0	2963_all,4087_all,5881_all	1	0		3.0		3	0	1	3	3	0	0			0			
2963	9236	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	1	0			0			
2963	1915	2	0	1			0	2963_all,4087_all	1	0		1.0		0	0	1	2	2	1	0			0			
2963	11235	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	1	0			0			
2963	9625	1	0	4			0	2963_all,5881_all,3164_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	869	2	0	0			0	2963_all	1	0		2.0		0	0	1	2	2	0	0			0			
2963	868	1	0	0			0	2963_all	1	0		0.0		0	0	1	1	1	0	0			0			
2963	54806	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	84303	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	220070	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	5713	1	0	6			0	2963_all,4087_all,5881_all	1	0		0.0		1	0	1	1	1	0	0			0			
2963	28952	1	0	0			0	2963_all	1	0		0.0		0	0	1	1	1	0	0			0			
2963	643441	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	132660	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	1	0			0			
2963	92211	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	653198	1	0	1			0	2963_all,4087_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	26960	1	0	1			0	2963_all,4087_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	10273	2	0	0			0	2963_all	1	0	TF	0.0		0	0	1	2	2	0	0			0			
2963	9654	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	90102	1	0	1			0	2963_all,3164_all	1	0		0.0		0	0	1	1	1	0	0			0			
2963	23421	1	0	0			0	2963_all	1	0	TF	1.0		0	0	1	1	1	0	0			0			
2963	5218	1	0	2			0	2963_all,4087_all,3164_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	4160	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	10084	1	0	1			0	2963_all,3164_all	1	0	TF	0.0		0	0	1	1	1	0	0			0			
2963	1965	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	5192	1	0	0			0	2963_all	1	0	TF	1.0		0	0	1	1	1	0	0			0			
2963	92675	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	14806	1	0	1			0	2963_all,3164_all	1	0		1.0		0	0	1	1	1	0	0			0			
