	Degree	gal1RGexp	gal1RGsig	gal4RGexp	gal4RGsig	gal80Rexp	gal80Rsig
YGL161C	2.0	-0.07	0.053915	0.172	8.9167E-4	-0.164	0.0065587	
YGL166W	3.0	-0.073	0.33486	0.243	0.0012181	0.147	0.032147	
YGL202W	1.0	-0.305	4.2677E-7	-0.286	4.2373E-5	-0.536	3.8938E-13	
YGL208W	1.0	0.354	1.7995E-6	0.406	1.1069E-6	0.139	0.097498	
YGL229C	2.0	-0.521	2.3655E-9	0.171	0.020857	-0.208	0.28721	
YGL237C	2.0	0.127	0.002588	0.05	0.22211	0.059	0.35299	
YGR009C	5.0	0.236	2.9579E-5	-0.185	0.017416	0.302	4.4067E-4	
YGR014W	3.0	-0.066	0.093717	-0.131	0.01294	-0.171	0.031836	
YGR019W	1.0	-0.163	0.0086582	0.234	0.0011998	-0.258	6.2171E-5	
YGR046W	1.0	0.158	0.0020954	0.177	5.1497E-4	0.124	0.10073	
YGR048W	2.0	0.017	0.696	-0.155	0.028001	0.364	0.0043651	
YGR058W	2.0	0.045	0.44242	-0.16	0.10763	-0.065	0.6708	
YGR074W	2.0	-0.074	0.11939	-0.133	0.08221	0.029	0.80755	
YGR085C	2.0	-0.188	2.639E-4	-0.425	7.4028E-7	-0.084	0.1613	
YGR088W	1.0	-0.91	1.6823E-10	0.596	1.9828E-4	-0.394	3.0726E-6	
YGR108W	3.0	-0.25	7.5764E-7	-0.566	2.3869E-7	0.101	0.1936	
YGR136W	1.0	-0.167	2.4958E-4	-0.163	0.0042386	-0.204	0.0020376	
YGR203W	1.0	-0.141	0.039575	-0.085	0.43554	-0.34	0.22451	
YGR218W	1.0	-0.018	0.61381	-0.0010	0.9794	-0.018	0.80969	
YGR254W	2.0	-0.737	6.5621E-11	0.259	0.0079977	-0.171	0.025056	
YHR005C	2.0	-0.02	0.64417	-0.413	5.0285E-5	0.33	0.0031233	
YHR030C	4.0	-0.227	1.349E-4	-0.24	2.7258E-4	0.21	0.0033506	
YHR053C	2.0	-0.656	1.6731E-4	-0.75	8.4638E-4	0.795	1.5187E-10	
YHR055C	2.0	-0.867	2.8813E-6	-0.416	0.026753	0.802	1.9696E-12	
YHR071W	1.0	-0.614	5.0065E-11	-0.67	4.2811E-6	-0.499	6.8054E-8	
YHR084W	4.0	-0.109	0.014623	-0.541	6.6062E-6	0.057	0.65365	
YHR115C	2.0	0.056	0.143	0.044	0.33678	0.138	0.079261	
YHR135C	2.0	0.082	0.037285	-0.049	0.23999	0.119	0.037227	
YHR141C	1.0	-0.359	7.7434E-7	-0.371	2.5233E-6	-0.139	0.012998	
YHR171W	3.0	-0.134	0.030789	0.251	2.257E-4	0.034	0.7782	
YHR174W	2.0	-0.816	7.175E-11	0.241	0.011477	-0.217	0.0015357	
YHR179W	1.0	-0.565	2.6358E-8	0.078	0.098356	-0.671	3.6995E-11	
YHR198C	1.0	-0.053	0.20226	0.401	1.9253E-7	-0.379	5.4324E-8	
YIL015W	2.0	-0.622	7.0996E-11	-0.207	0.0040782	-1.117	2.9167E-11	
YIL045W	2.0	-0.078	0.056656	0.478	8.8839E-7	-0.134	0.072301	
YIL052C	1.0	-0.258	3.7855E-5	-0.451	3.4652E-7	-0.025	0.66627	
YIL061C	5.0	0.165	0.013072	-0.635	4.9035E-4	0.181	0.28119	
YIL069C	1.0	-0.313	7.7038E-6	-0.467	1.0186E-6	-0.018	0.74944	
YIL070C	1.0	0.033	0.68369	0.146	0.0033116	-0.339	9.0003E-6	
YIL074C	2.0	-0.444	4.9389E-9	-0.565	2.6626E-5	0.393	0.022682	
YIL105C	2.0	0.196	6.9834E-5	0.023	0.66796	0.197	0.016148	
YIL113W	2.0	-0.236	0.002113	0.211	0.002831	-0.137	0.23739	
YIL133C	2.0	-0.453	4.6153E-8	-0.311	1.1962E-4	-0.146	0.012589	
YIL143C	2.0	0.124	0.019613	0.069	0.36733	0.264	0.045357	
YIL160C	1.0	1.044	1.071E-6	0.674	3.103E-8	0.92	6.0801E-7	
YIL162W	2.0	-0.318	4.1442E-7	0.688	1.7862E-9	-1.131	1.7403E-20	
YIR009W	5.0	-0.044	0.74397	-0.337	0.19987	-0.049	0.89526	
YJL013C	2.0	-0.072	0.14469	-0.154	0.046575	0.084	0.52778	
YJL030W	2.0	0.08	0.21701	-0.271	0.0092841	0.46	0.0045437	
YJL036W	1.0	0.195	1.3457E-4	-0.051	0.36812	0.376	9.7735E-4	
YJL089W	4.0	0.037	0.72688	0.169	0.55601	0.442	0.033306	
YJL157C	4.0	-0.158	5.9763E-4	-0.803	4.7408E-8	0.972	6.3708E-7	
YJL159W	2.0	-0.357	6.8879E-8	0.111	0.041194	0.0010	0.999999	
YJL190C	1.0	-0.444	1.0479E-5	-0.443	1.8121E-6	-0.184	0.0020712	
YJL194W	2.0	0.018	0.83635	-0.661	4.5029E-5	0.525	0.050004	
YJL203W	2.0	0.083	0.13783	-0.46	6.541E-4	0.401	0.0046881	
YJL219W	2.0	0.298	5.6008E-6	0.592	1.6899E-9	-0.162	0.097946	
YJR022W	7.0	0.059	0.6011	-0.435	0.070701	0.294	0.14344	
YJR048W	5.0	0.216	3.3444E-5	0.14	0.005959	-0.643	1.6071E-8	
YJR060W	2.0	0.165	0.0013953	-0.306	0.0034755	0.103	0.43529	
YJR066W	1.0	-0.028	0.47775	0.326	2.5298E-5	0.111	0.1951	
YJR109C	1.0	-0.323	1.2917E-7	-0.0	0.61381	-0.745	0.030981	
YKL001C	1.0	-0.152	0.0020562	-0.474	2.7503E-6	0.683	2.7054E-7	
YKL012W	3.0	0.21	4.2719E-4	-0.277	3.5398E-4	0.561	8.7173E-5	
YKL028W	1.0	0.214	3.5042E-5	-0.146	0.025221	0.337	4.9898E-5	
YKL074C	2.0	0.0020	0.96433	-0.294	2.8457E-4	0.608	3.4465E-4	
YKL101W	1.0	-0.01	0.96433	0.78	1.6928E-9	0.439	0.0030233	
YKL109W	4.0	0.084	0.045375	0.295	3.1802E-6	-0.117	0.071395	
YKL161C	1.0	-0.198	7.5801E-4	-0.319	0.022048	0.202	0.18731	
YKL204W	1.0	0.253	6.4944E-6	-0.0020	0.9794	0.16	0.091109	
YKL211C	1.0	-0.183	1.6589E-4	-0.6	4.2736E-7	0.358	1.5264E-4	
YKR026C	1.0	-0.154	9.1177E-4	-0.501	3.5692E-6	0.292	0.011229	
YKR097W	2.0	1.289	7.092E-13	1.224	1.8547E-10	0.123	0.13819	
YKR099W	3.0	0.466	6.1231E-6	-0.936	7.6476E-6	1.101	6.9896E-4	
YLL019C	1.0	0.258	1.3809E-5	0.215	6.085E-5	0.295	9.3514E-5	
YLL021W	2.0	-0.155	3.4013E-4	0.05	0.23036	-0.036	0.62229	
YLL028W	1.0	-0.189	1.7163E-4	-0.101	0.27319	-0.24	0.0047822	
YLR044C	3.0	-0.62	6.9512E-11	-0.071	0.23784	-0.184	0.0064407	
YLR075W	2.0	-0.169	1.7255E-4	-0.2	4.2857E-4	-0.0020	0.9794	
YLR081W	2.0	0.176	2.4597E-4	-0.57	1.6652E-7	0.892	7.3429E-10	
YLR109W	1.0	-0.603	1.4814E-9	0.466	2.5668E-4	-0.486	2.3432E-11	
YLR116W	2.0	0.015	0.74865	-0.03	0.60558	0.101	0.35769	
YLR117C	2.0	0.326	7.6184E-7	-0.234	0.0048407	0.712	6.8931E-6	
YLR134W	1.0	-0.645	1.2585E-11	0.027	0.58514	-0.351	1.2076E-8	
YLR153C	1.0	-0.042	0.24703	-0.014	0.78003	-0.172	0.011567	
YLR175W	1.0	0.038	0.47804	-0.597	5.549E-5	0.498	1.4113E-7	
YLR191W	2.0	0.178	7.6925E-4	-0.056	0.58305	0.222	0.097987	
YLR197W	2.0	0.02	0.70174	-0.521	1.0814E-5	0.49	3.3814E-8	
YLR214W	1.0	0.518	4.6835E-9	-0.279	0.0018109	0.282	0.039051	
YLR229C	2.0	-0.074	0.066961	0.089	0.031442	-0.154	0.030339	
YLR249W	2.0	-0.39	2.713E-8	-0.394	0.04747	-0.769	0.035939	
YLR256W	4.0	0.011	0.79725	-0.087	0.063023	0.104	0.2243	
YLR258W	3.0	-0.405	4.4171E-9	0.4	1.8329E-6	-0.487	5.8675E-12	
YLR264W	4.0	-0.259	1.6086E-4	-0.299	2.0632E-4	-0.17	0.21059	
YLR284C	1.0	0.195	0.0052304	-0.148	0.21531	0.716	3.9241E-4	
YLR293C	1.0	-0.242	1.7601E-5	-0.247	6.7968E-4	-0.128	0.012703	
YLR310C	2.0	0.015	0.67137	-0.037	0.41028	-0.071	0.25519	
YLR319C	2.0	0.071	0.18355	-0.201	0.0039398	0.21	0.072655	
YLR321C	2.0	0.252	2.6832E-5	-0.352	5.2576E-4	0.427	0.0047054	
YLR340W	1.0	-0.259	4.9964E-6	-0.148	0.0063648	-0.361	2.0593E-7	
YLR345W	1.0	0.108	0.012373	0.234	7.892E-5	0.116	0.073789	
YLR362W	9.0	0.144	0.023963	0.037	0.50139	0.374	0.0010869	
YLR377C	2.0	0.873	2.1938E-10	1.067	5.8901E-11	0.371	0.0037868	
YLR432W	2.0	-0.197	6.6826E-5	-0.054	0.36112	-0.301	4.8207E-5	
YLR452C	1.0	-0.507	2.4276E-7	-0.393	6.6966E-6	-0.269	0.014595	
YML007W	1.0	0.359	9.2417E-8	-0.039	0.42858	0.331	0.0024709	
YML024W	1.0	-0.551	6.9725E-11	-0.454	1.5459E-6	-0.864	1.3115E-12	
YML032C	2.0	0.199	3.3893E-4	-0.136	0.033332	0.363	0.0030735	
YML051W	4.0	-0.07	0.080275	-0.606	4.3863E-8	-1.167	8.1952E-17	
YML054C	2.0	0.963	3.5964E-11	0.856	1.3947E-8	-0.091	0.25421	
YML064C	4.0	-0.218	0.37089	-0.069	0.45319	-0.0	0.999999	
YML074C	1.0	0.118	0.02495	-0.38	5.2953E-5	0.389	3.3233E-5	
YML114C	1.0	0.226	4.5247E-4	-0.145	0.12134	0.385	0.0058304	
YML123C	1.0	0.283	0.0015163	-0.114	0.019412	0.692	6.9606E-7	
YMR005W	1.0	0.218	5.0658E-5	-0.419	1.2336E-4	0.571	9.5685E-5	
YMR021C	2.0	0.022	0.6115	-0.032	0.59236	0.066	0.54119	
YMR043W	18.0	-0.183	0.0035372	-0.654	4.2514E-6	0.457	2.4112E-4	
YMR044W	1.0	0.255	4.4526E-5	-0.093	0.15055	0.357	8.8242E-4	
YMR058W	1.0	0.449	3.6962E-8	-0.293	4.7738E-4	0.64	1.6005E-8	
YMR108W	1.0	0.04	0.27002	-0.358	9.4314E-4	0.095	0.14717	
YMR117C	3.0	0.093	0.41398	0.371	5.0622E-5	-0.296	0.35411	
YMR138W	3.0	0.414	0.037256	-0.0	0.39944	0.221	0.12805	
YMR146C	1.0	-0.05	0.30844	-0.143	0.0085173	-0.151	0.072007	
YMR183C	1.0	-0.822	2.1741E-11	0.256	0.0021146	-0.825	1.0306E-16	
