#GeneID Symbol Synonyms
290	ANPEP	APN|CD13|LAP1|PEPN|gp150
291	SLC25A4	ANT|ANT1|PEO2|PEO3|T1
292	SLC25A5	2F1|ANT2|T2|T3
293	SLC25A6	ANT3|ANT3Y|MGC17525
294	ANTP1	-
295	ANTP2	-
296	ANTP3	-
297	ANTP4	-
298	ANTP5	-
299	ANTP6	-
300	ANTP7	-
301	ANXA1	ANX1|LPC1
302	ANXA2	ANX2|ANX2L4|CAL1H|LIP2|LPC2|LPC2D|P36|PAP-IV
303	ANXA2P1	ANX2L1|ANX2P1|LPC2A
304	ANXA2P2	ANX2L2|ANX2P2|LPC2B
305	ANXA2P3	ANX2L3|ANX2P3|LIP2|LPC2C
306	ANXA3	ANX3
307	ANXA4	ANX4|DKFZp686H02120|MGC75105|PIG28
308	ANXA5	ANX5|ENX2|PP4
309	ANXA6	ANX6|CBP68
310	ANXA7	ANX7|SNX
311	ANXA11	ANX11|CAP50
312	ANXA13	ANX13|ISA
313	AOAH	-
314	AOC2	DAO2|RAO
316	AOX1	AO|AOH1
317	APAF1	CED4
318	NUDT2	APAH1|MGC10404
319	APOF	Apo-F|DKFZp781G18150|MGC22520
320	APBA1	D9S411E|MINT1|X11|X11A|X11ALPHA
321	APBA2	D15S1518E|HsT16821|LIN-10|MGC99508|MGC:14091|MINT2|X11L
322	APBB1	FE65|MGC:9072|RIR
323	APBB2	FE65L|FE65L1|MGC35575
324	APC	DP2|DP2.5|DP3|FAP|FPC|GS
325	APCS	MGC88159|PTX2|SAP
326	AIRE	AIRE1|APECED|APS1|APSI|PGA1
327	APEH	ACPH|APH|D3F15S2|D3S48E|DNF15S2|MGC2178|OPH
328	APEX1	APE|APE1|APEN|APEX|APX|HAP1|REF-1|REF1
329	BIRC2	API1|HIAP2|Hiap-2|MIHB|RNF48|cIAP1
330	BIRC3	AIP1|API2|CIAP2|HAIP1|HIAP1|MALT2|MIHC|RNF49
331	BIRC4	API3|ILP1|MIHA|XIAP
332	BIRC5	API4|EPR-1
333	APLP1	APLP
334	APLP2	APPH|APPL2|CDEBP
335	APOA1	MGC117399
336	APOA2	-
337	APOA4	MGC142154|MGC142156
338	APOB	FLDB
339	APOBEC1	APOBEC-1|BEDP|CDAR1|HEPR
340	APOBER1	-
341	APOC1	-
342	APOC1P1	-
343	AQP8	-
344	APOC2	MGC75082
345	APOC3	APOCIII
346	APOC4	-
347	APOD	-
348	APOE	AD2|MGC1571|apoprotein
349	APOEL1	-
350	APOH	B2G1|BG
351	APP	AAA|ABETA|ABPP|AD1|APPI|CTFgamma|CVAP|PN2
353	APRT	AMP|DKFZp686D13177|MGC125856|MGC125857
354	KLK3	APS|KLK2A1|PSA|hK3
355	FAS	ALPS1A|APO-1|APT1|CD95|FAS1|FASTM|TNFRSF6
356	FASLG	APT1LG1|CD178|CD95L|FASL|TNFSF6
357	SHROOM2	APXL|DKFZp781J074|FLJ39277|HSAPXL
358	AQP1	AQP-CHIP|CHIP28|CO|MGC26324
359	AQP2	AQP-CD|MGC34501|WCH-CD
360	AQP3	GIL
361	AQP4	HMIWC2|MGC22454|MIWC
362	AQP5	-
363	AQP6	AQP2L|KID
364	AQP7	AQP7L|AQP9|AQPap
366	AQP9	HsT17287|SSC1
367	AR	AIS|DHTR|HUMARA|KD|NR3C4|SBMA|SMAX1|TFM
368	ABCC6	ABC34|ARA|EST349056|MLP1|MOATE|MRP6|PXE|PXE1
369	ARAF	A-RAF|ARAF1|PKS2|RAFA1
370	ARAFPS	ARAF2|ARAF2P|PKS1
371	ARCN2	-
372	ARCN1	COPD
373	TRIM23	ARD1|ARFD1|RNF46
374	AREG	AR|CRDGF|MGC13647|SDGF
375	ARF1	-
376	ARF2	-
377	ARF3	-
378	ARF4	-
379	ARL4D	ARF4L|ARL6
380	ARF4P	-
381	ARF5	-
382	ARF6	-
383	ARG1	-
384	ARG2	-
387	RHOA	ARH12|ARHA|RHO12|RHOH12
388	RHOB	ARH6|ARHB|RHOH6
389	RHOC	ARH9|ARHC|H9|MGC1448|MGC61427|RHOH9
390	RND3	ARHE|Rho8|RhoE|memB
391	RHOG	ARHG|MGC125835|MGC125836
392	ARHGAP1	CDC42GAP|RHOGAP|RHOGAP1|p50rhoGAP
393	ARHGAP4	C1|KIAA0131|RGC1|RhoGAP4|p115
394	ARHGAP5	RhoGAP5|p190-B
395	ARHGAP6	RHOGAP6|rhoGAPX-1
396	ARHGDIA	GDIA1|MGC117248|RHOGDI|RHOGDI-1
397	ARHGDIB	D4|GDIA2|GDID4|LYGDI|Ly-GDI|RAP1GN1
398	ARHGDIG	RHOGDI-3
399	RHOH	ARHH|TTF
400	ARL1	ARFL1
401	PHOX2A	ARIX|CFEOM2|FEOM2|MGC52227|NCAM2|PMX2A
402	ARL2	ARFL2
403	ARL3	ARFL3
405	ARNT	HIF-1beta|HIF1B|HIF1BETA|TANGO
406	ARNTL	BMAL1|BMAL1c|JAP3|MGC47515|MOP3|PASD3|TIC
407	ARR3	ARRX
408	ARRB1	ARB1|ARR1
409	ARRB2	ARB2|ARR2|DKFZp686L0365
410	ARSA	MLD
411	ARSB	ASB|G4S|MPS6
412	STS	ARSC|ARSC1|ASC|ES|SSDD
413	ARSC2	ARSC
414	ARSD	-
415	ARSE	CDPX|CDPX1|CDPXR
416	ARSF	ASF
417	ART1	ART2|CD296|MGC133217|RT6
418	ART2P	ART1P|RT6
419	ART3	-
420	ART4	CD297|DO|DOK1
