deoD	;SET01561;SET01863;SET01969;SET02147;SET02294;SET02295;SET02297;SET02484;SET02557;SET02748;SET08368
punA	;SET01561;SET01863;SET01969;SET02147;SET02294;SET02295;SET02297;SET02484;SET02557;SET02748;SET08368
pdhA	;SET00014;SET00209;SET01699;SET03270
pdhB	;SET00014;SET00209;SET01699;SET03270
pdhD	;SET00209;SET01221;SET01698;SET01933;SET03815;SET07618;SET08549;SET08550
pdhC	;SET00209;SET02569
odhB	;SET01933;SET02570;SET02571;SET08549
yngF	;SET02685;SET03026;SET03045;SET03224;SET04137;SET04170;SET04204;SET04224;SET04738;SET04740;SET04744;SET04746;SET04749;SET05595;SET06411;SET06412;SET06942;SET07314;SET07889;SET07893;SET07897;SET08093
ysiB	;SET02685;SET03026;SET03045;SET03224;SET04137;SET04170;SET04204;SET04224;SET04738;SET04740;SET04744;SET04746;SET04749;SET05595;SET06411;SET06412;SET06942;SET07314;SET07889;SET07893;SET07897;SET08093
yusL	;SET01778;SET01975;SET02685;SET03026;SET03045;SET03224;SET04137;SET04170;SET04203;SET04204;SET04224;SET04737;SET04738;SET04739;SET04740;SET04741;SET04743;SET04744;SET04745;SET04746;SET04748;SET04749;SET05066;SET05575;SET05595;SET06411;SET06412;SET06941;SET06942;SET07314;SET07889;SET07890;SET07893;SET07894;SET07897;SET07898;SET08093;SET08094
fdhD	;SET00519
yjgC	;SET00519
nasB	;SET00787;SET00789
narG	;SET00798;SET01106;SET02165
narH	;SET00798;SET01106;SET02165
narI	;SET00798;SET01106;SET02165
narJ	;SET00798;SET01106;SET02165
nasB	;SET00798;SET01106;SET02165
nasC	;SET00798;SET01106;SET02165
pyrH	;SET00158
cmk	;SET00158;SET00512;SET01665
ywiE	;SET02030
ywnE	;SET02030
ywjE	;SET04921
katA	;SET00009;SET00602;SET02670
katE	;SET00009;SET00602;SET02670
katX	;SET00009;SET00602;SET02670
dapG	;SET00480
lysC	;SET00480
yclM	;SET00480
proG	;SET01248;SET01251;SET03291;SET03293
proH	;SET01248;SET01251;SET03291;SET03293
proI	;SET01248;SET01251;SET03291;SET03293
trxB	;SET02016
ycgT	;SET02016
yumC	;SET02016
purL	;SET04463
purQ	;SET04463
purS	;SET04463
ywaA	;SET01090;SET01214;SET02199
ybgE	;SET01090;SET01214;SET02199;SET01090;SET01214;SET02199
sdhA	;SET00408;SET00412
sdhB	;SET00408;SET00412
sdhC	;SET00408;SET00412
yjbV	;SET03471;SET04509
thiD	;SET04509
galE	;SET00291;SET00418;SET02984
glgC	;SET00948
glgD	;SET00948
thyA	;SET02101
thyB	;SET02101
sucC	;SET00405;SET02404
sucD	;SET00405;SET02404
penP	;SET03743;SET04318;SET06363
ybxI	;SET03743;SET04318;SET06363
yvgQ	;SET00858
yvgR	;SET00858
oxdC	;SET00522
yoaN	;SET00522
ydhR	;SET00760;SET00867;SET03920
ydjE	;SET00760;SET00867;SET03920
racE	;SET00260
yrpC	;SET00260
ctaB	;SET07411
ctaO	;SET07411
yngE	;SET01859
yqjD	;SET01859
ybgJ	;SET00256;SET01579;SET06134
ylaM	;SET00256;SET01579;SET06134
manA	;SET00772;SET01819
pmi	;SET00772;SET01819
proB	;SET00239
proJ	;SET00239
murAA	;SET00660
murAB	;SET00660
yncF	;SET02100
yosS	;SET02100
alsS	;SET00006;SET00014;SET00026;SET03050;SET04672;SET04673;SET08648
lytD	;SET00022;SET03492;SET04184;SET04586;SET05963;SET06001;SET06004;SET06141;SET07809;SET07810
ydhP	;SET00026;SET02887;SET03527;SET04949;SET04998;SET06077;SET06092
hemB	;SET00036;SET00036
ylbI	;SET00084
hemC	;SET00084;SET00084
ald	;SET00145;SET00146;SET00396
bcd	;SET00145;SET00146;SET01088;SET01434;SET02196;SET03960;SET00145;SET00146;SET01088;SET01434;SET02196;SET03960
metK	;SET00177;SET04771
speD	;SET00178;SET00178
apt	;SET00190;SET01229;SET04378
pps	;SET00199
pyk	;SET00200;SET00430;SET00572;SET00659;SET00724;SET01138;SET01858;SET02320
ydaP	;SET00207
