YloI	;SET03269;SET04230;SET04231
YqiD	;SET01658;SET02003
YrhB	;SET00782;SET01285;SET01286;SET02408;SET04941
YusK	;SET00238;SET00927;SET01177
YvyH	;SET00414;SET00420;SET02707
BkdAA	;SET07599;SET07600;SET07601;SET07602;SET07603;SET07604
BkdAB	;SET07599;SET07600;SET07601;SET07602;SET07603;SET07604
LpdV	;SET07599;SET07600;SET07601;SET07602;SET07603;SET07604;SET00209;SET01221;SET01698;SET01933;SET03815;SET07618;SET08549;SET08550
BkdB	;SET07599;SET07600;SET07601;SET07602;SET07603;SET07604;SET02662;SET03174;SET04097
[BkdAAAB]	;SET01701;SET01702;SET04225;SET07599;SET07600;SET07601;SET07602;SET07603;SET07604
[BkdAAAB]	;SET01701;SET01702;SET04225;SET07599;SET07600;SET07601;SET07602;SET07603;SET07604
LpdV	;SET07599;SET07600;SET07601;SET07602;SET07603;SET07604;SET00209;SET01221;SET01698;SET01933;SET03815;SET07618;SET08549;SET08550
BkdB	;SET07599;SET07600;SET07601;SET07602;SET07603;SET07604;SET02662;SET03174;SET04097
LcfA	;SET00390;SET00390;SET01280;SET01280
YhfL	;SET00390;SET00390;SET01280;SET01280
YhfT	;SET00390;SET00390;SET01280;SET01280
YngI	;SET00390;SET00390;SET01280;SET01280
FbaA	;SET01068;SET01068;SET01070;SET01070;SET01829;SET01829;SET02568;SET02568
FbaB	;SET01068;SET01068;SET01070;SET01070;SET01829;SET01829;SET02568;SET02568;SET05378;SET05378
IolE	;SET02782;SET02782
IolC	;SET04351;SET04351;SET05661;SET05661
IolB	;SET08503;SET08503
IolD	;SET08603;SET08603
YfkN	;SET01562;SET01877;SET02148;SET02370;SET03060;SET03423;SET03537;SET03538;SET03929;SET05135;SET01562;SET01877;SET02148;SET02370;SET03060;SET03423;SET03537;SET03538;SET03929;SET05135
DeoD	;SET01561;SET01863;SET01969;SET02147;SET02294;SET02295;SET02297;SET02484;SET02557;SET02748;SET08368
PunA	;SET01561;SET01863;SET01969;SET02147;SET02294;SET02295;SET02297;SET02484;SET02557;SET02748;SET08368
[PdhAB]	;SET00014;SET00209;SET01699;SET03270
[PdhAB]	;SET00014;SET00209;SET01699;SET03270
PdhD	;SET00209;SET01221;SET01698;SET01933;SET03815;SET07618;SET08549;SET08550
PdhC	;SET00209;SET02569
OdhB	;SET01933;SET02570;SET02571;SET08549
YngF	;SET02685;SET03026;SET03045;SET03224;SET04137;SET04170;SET04204;SET04224;SET04738;SET04740;SET04744;SET04746;SET04749;SET05595;SET06411;SET06412;SET06942;SET07314;SET07889;SET07893;SET07897;SET08093
YsiB	;SET02685;SET03026;SET03045;SET03224;SET04137;SET04170;SET04204;SET04224;SET04738;SET04740;SET04744;SET04746;SET04749;SET05595;SET06411;SET06412;SET06942;SET07314;SET07889;SET07893;SET07897;SET08093
YusL	;SET01778;SET01975;SET02685;SET03026;SET03045;SET03224;SET04137;SET04170;SET04203;SET04204;SET04224;SET04737;SET04738;SET04739;SET04740;SET04741;SET04743;SET04744;SET04745;SET04746;SET04748;SET04749;SET05066;SET05575;SET05595;SET06411;SET06412;SET06941;SET06942;SET07314;SET07889;SET07890;SET07893;SET07894;SET07897;SET07898;SET08093;SET08094
[YjgCFdhD]	;SET00519
[YjgCFdhD]	;SET00519
NasB	;SET00787;SET00789
[NarGHIJ]	;SET00798;SET01106;SET02165
[NarGHIJ]	;SET00798;SET01106;SET02165
[NarGHIJ]	;SET00798;SET01106;SET02165
[NarGHIJ]	;SET00798;SET01106;SET02165
[NasBC]	;SET00798;SET01106;SET02165
[NasBC]	;SET00798;SET01106;SET02165
PyrH	;SET00158
Cmk	;SET00158;SET00512;SET01665
YwiE	;SET02030
YwnE	;SET02030
YwjE	;SET04921
KatA	;SET00009;SET00602;SET02670
KatE	;SET00009;SET00602;SET02670
KatX	;SET00009;SET00602;SET02670
DapG	;SET00480
LysC	;SET00480
YclM	;SET00480
ProG	;SET01248;SET01251;SET03291;SET03293
ProH	;SET01248;SET01251;SET03291;SET03293
ProI	;SET01248;SET01251;SET03291;SET03293
TrxB	;SET02016
YsgT	;SET02016
YumC	;SET02016
[PurSLQ]	;SET04463
[PurSLQ]	;SET04463
[PurSLQ]	;SET04463
YwaA	;SET01090;SET01214;SET02199
YbgE	;SET01090;SET01214;SET02199;SET01090;SET01214;SET02199
[SdhABC]	;SET00408;SET00412
[SdhABC]	;SET00408;SET00412
[SdhABC]	;SET00408;SET00412
YjbV	;SET03471;SET04509
ThiD	;SET04509
GalE	;SET00291;SET00418;SET02984
GlgC	;SET00948
GlgD	;SET00948
ThyA	;SET02101
ThyB	;SET02101
[SucCD]	;SET00405;SET02404
[SucCD]	;SET00405;SET02404
PenP	;SET03743;SET04318;SET06363
YbxI	;SET03743;SET04318;SET06363
YvgQ	;SET00858
YvgR	;SET00858
OxdC	;SET00522
YoaN	;SET00522
YdhR	;SET00760;SET00867;SET03920
YdjE	;SET00760;SET00867;SET03920
RacE	;SET00260
YrpC	;SET00260
CtaB	;SET07411
CtaO	;SET07411
YngE	;SET01859
YqjD	;SET01859
YbgJ	;SET00256;SET01579;SET06134
YlaM	;SET00256;SET01579;SET06134
ManA	;SET00772;SET01819
Pmi	;SET00772;SET01819
ProB	;SET00239
ProJ	;SET00239
MurAA	;SET00660
MurAB	;SET00660
YncF	;SET02100
YosS	;SET02100
AlsS	;SET00006;SET00014;SET00026;SET03050;SET04672;SET04673;SET08648
LytD	;SET00022;SET03492;SET04184;SET04586;SET05963;SET06001;SET06004;SET06141;SET07809;SET07810
YdhP	;SET00026;SET02887;SET03527;SET04949;SET04998;SET06077;SET06092
