Object Name in SGD	key	alias	Taxon ID
S000002725	HIM1	YDR317W	taxon:4932
S000002725	HIM1	YDR317W	taxon:4932
S000002725	HIM1	YDR317W	taxon:4932
S000003423	HIP1	YGR191W	taxon:4932
S000003423	HIP1	YGR191W	taxon:4932
S000003423	HIP1	YGR191W	taxon:4932
S000003423	HIP1	YGR191W	taxon:4932
S000003423	HIP1	YGR191W	taxon:4932
S000003423	HIP1	YGR191W	taxon:4932
S000000104	HIR1	YBL008W	taxon:4932
S000000104	HIR1	YBL008W	taxon:4932
S000000104	HIR1	YBL008W	taxon:4932
S000000104	HIR1	YBL008W	taxon:4932
S000005564	HIR2	YOR038C|SPT1	taxon:4932
S000005564	HIR2	YOR038C|SPT1	taxon:4932
S000005564	HIR2	YOR038C|SPT1	taxon:4932
S000003901	HIR3	YJR140C|HPC1	taxon:4932
S000003901	HIR3	YJR140C|HPC1	taxon:4932
S000003901	HIR3	YJR140C|HPC1	taxon:4932
S000029211	HIR4		taxon:4932
S000029211	HIR4		taxon:4932
S000029211	HIR4		taxon:4932
S000000857	HIS1	YER055C	taxon:4932
S000000857	HIS1	YER055C	taxon:4932
S000000857	HIS1	YER055C	taxon:4932
S000001921	HIS2	YFR025C	taxon:4932
S000001921	HIS2	YFR025C	taxon:4932
S000001921	HIS2	YFR025C	taxon:4932
S000005728	HIS3	YOR202W|HIS10	taxon:4932
S000005728	HIS3	YOR202W|HIS10	taxon:4932
S000005728	HIS3	YOR202W|HIS10	taxon:4932
S000000535	HIS4	YCL030C	taxon:4932
S000000535	HIS4	YCL030C	taxon:4932
S000000535	HIS4	YCL030C	taxon:4932
S000000535	HIS4	YCL030C	taxon:4932
S000000535	HIS4	YCL030C	taxon:4932
S000001378	HIS5	YIL116W	taxon:4932
S000001378	HIS5	YIL116W	taxon:4932
S000001378	HIS5	YIL116W	taxon:4932
S000001282	HIS6	YIL020C	taxon:4932
S000001282	HIS6	YIL020C	taxon:4932
S000001282	HIS6	YIL020C	taxon:4932
S000000452	HIS7	YBR248C	taxon:4932
S000000452	HIS7	YBR248C	taxon:4932
S000000452	HIS7	YBR248C	taxon:4932
